Rank,Feature,Importance,Category
1,buffalo_density,0.120,Livestock
2,livestock_density,0.108,Livestock
3,lat,0.095,Geographic
4,lon,0.083,Geographic
5,wind_speed,0.080,Weather
6,humidity_lag1,0.070,Weather
7,temp_lag1,0.069,Weather
8,humidity,0.068,Weather
9,rainfall_mm,0.062,Weather
10,wind_lag1,0.062,Weather
11,rfq,0.060,Weather
12,r3h,0.058,Weather
13,rain_lag1,0.056,Weather
14,rfq_lag1,0.049,Weather
15,rain_lag2,0.048,Weather
16,sin_month,0.045,Temporal
17,cos_month,0.042,Temporal
18,monsoon_phase_NE_Monsoon,0.038,Seasonal
19,monsoon_phase_SW_Monsoon,0.035,Seasonal
20,monsoon_phase_Second_Inter_Monsoon,0.032,Seasonal
21,monsoon_phase_First_Inter_Monsoon,0.028,Seasonal
