district,year,month_num,true_severity,predicted_severity,interval_low,interval_high,confidence_pct,interval_label
Colombo,2017,1,LOW,LOW,LOW,LOW,97.0,"[LOW, LOW]"
Colombo,2021,12,HIGH,HIGH,LOW,HIGH,72.0,"[LOW, HIGH]"
Colombo,2022,1,HIGH,HIGH,LOW,HIGH,66.0,"[LOW, HIGH]"
Gampaha,2017,1,LOW,LOW,LOW,LOW,95.0,"[LOW, LOW]"
Gampaha,2019,1,MEDIUM,MEDIUM,LOW,MEDIUM,66.0,"[LOW, MEDIUM]"
Gampaha,2019,9,MEDIUM,MEDIUM,LOW,MEDIUM,79.0,"[LOW, MEDIUM]"
Gampaha,2019,10,MEDIUM,MEDIUM,LOW,MEDIUM,85.0,"[LOW, MEDIUM]"
Gampaha,2019,11,MEDIUM,MEDIUM,LOW,MEDIUM,78.0,"[LOW, MEDIUM]"
Gampaha,2019,12,MEDIUM,MEDIUM,LOW,MEDIUM,81.0,"[LOW, MEDIUM]"
Gampaha,2020,1,LOW,LOW,LOW,MEDIUM,91.0,"[LOW, MEDIUM]"
Gampaha,2021,3,LOW,LOW,LOW,MEDIUM,88.0,"[LOW, MEDIUM]"
Gampaha,2021,4,LOW,LOW,LOW,MEDIUM,91.0,"[LOW, MEDIUM]"
Gampaha,2021,12,LOW,LOW,LOW,HIGH,62.0,"[LOW, HIGH]"
Gampaha,2022,1,LOW,LOW,LOW,HIGH,90.0,"[LOW, HIGH]"
Gampaha,2022,2,LOW,LOW,LOW,LOW,96.0,"[LOW, LOW]"
Kalutara,2020,1,LOW,LOW,LOW,LOW,95.0,"[LOW, LOW]"
Kalutara,2020,8,LOW,LOW,LOW,LOW,95.0,"[LOW, LOW]"
Kalutara,2021,10,LOW,LOW,LOW,MEDIUM,91.0,"[LOW, MEDIUM]"
Kalutara,2022,1,LOW,LOW,LOW,HIGH,94.0,"[LOW, HIGH]"
Kalutara,2024,1,LOW,LOW,LOW,MEDIUM,84.0,"[LOW, MEDIUM]"
Kalutara,2024,2,LOW,LOW,LOW,LOW,96.0,"[LOW, LOW]"
Kalutara,2024,3,LOW,LOW,LOW,MEDIUM,94.0,"[LOW, MEDIUM]"
Kalutara,2024,10,LOW,LOW,LOW,LOW,95.0,"[LOW, LOW]"
Kalutara,2024,11,LOW,LOW,LOW,MEDIUM,93.0,"[LOW, MEDIUM]"
Kalutara,2024,12,LOW,LOW,LOW,MEDIUM,86.0,"[LOW, MEDIUM]"
Kandy,2017,3,LOW,LOW,LOW,MEDIUM,63.0,"[LOW, MEDIUM]"
Kandy,2018,2,MEDIUM,MEDIUM,MEDIUM,MEDIUM,100.0,"[MEDIUM, MEDIUM]"
Kandy,2018,3,MEDIUM,MEDIUM,LOW,MEDIUM,92.0,"[LOW, MEDIUM]"
Kandy,2018,8,MEDIUM,MEDIUM,LOW,MEDIUM,88.0,"[LOW, MEDIUM]"
Kandy,2018,9,MEDIUM,MEDIUM,LOW,MEDIUM,67.0,"[LOW, MEDIUM]"
Kandy,2018,10,MEDIUM,MEDIUM,LOW,MEDIUM,79.0,"[LOW, MEDIUM]"
Kandy,2019,1,LOW,LOW,LOW,MEDIUM,66.0,"[LOW, MEDIUM]"
Kandy,2019,11,LOW,LOW,LOW,MEDIUM,75.0,"[LOW, MEDIUM]"
Kandy,2020,10,LOW,LOW,LOW,MEDIUM,74.0,"[LOW, MEDIUM]"
Kandy,2020,11,LOW,LOW,LOW,MEDIUM,62.0,"[LOW, MEDIUM]"
Kandy,2021,3,MEDIUM,MEDIUM,MEDIUM,MEDIUM,98.0,"[MEDIUM, MEDIUM]"
Kandy,2021,4,MEDIUM,MEDIUM,LOW,MEDIUM,86.0,"[LOW, MEDIUM]"
Kandy,2021,5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,97.0,"[MEDIUM, MEDIUM]"
Kandy,2021,12,MEDIUM,MEDIUM,LOW,MEDIUM,75.0,"[LOW, MEDIUM]"
Kandy,2022,1,MEDIUM,MEDIUM,MEDIUM,MEDIUM,95.0,"[MEDIUM, MEDIUM]"
Kandy,2022,2,MEDIUM,MEDIUM,MEDIUM,MEDIUM,100.0,"[MEDIUM, MEDIUM]"
Kandy,2022,6,MEDIUM,MEDIUM,LOW,MEDIUM,93.0,"[LOW, MEDIUM]"
Kandy,2023,1,LOW,LOW,LOW,MEDIUM,70.0,"[LOW, MEDIUM]"
Kandy,2024,1,LOW,MEDIUM,LOW,MEDIUM,68.0,"[LOW, MEDIUM]"
Kandy,2024,2,LOW,LOW,LOW,MEDIUM,60.0,"[LOW, MEDIUM]"
Kandy,2024,3,LOW,MEDIUM,MEDIUM,MEDIUM,99.0,"[MEDIUM, MEDIUM]"
