Model,Test year,Precision,Recall,F1,PR-AUC,ROC-AUC
Seasonal Naive,2022,-,0.167,0.179,-,-
Logistic Regression,2022,0.205,0.75,0.321,0.278,0.72
Random Forest,2022,0.25,0.028,0.05,0.267,0.696
Gradient Boosting,2022,0.5,0.139,0.217,0.259,0.701
XGBoost,2022,0.259,0.194,0.222,0.273,0.684
Seasonal Naive,2023,-,0.25,0.125,-,-
Logistic Regression,2023,0.09,0.833,0.163,0.16,0.808
Random Forest,2023,0.333,0.083,0.133,0.222,0.836
Gradient Boosting,2023,0.2,0.333,0.25,0.148,0.784
XGBoost,2023,0.259,0.583,0.359,0.191,0.709
Seasonal Naive,2024,-,0.128,0.222,-,-
Logistic Regression,2024,0.528,0.731,0.613,0.648,0.82
Random Forest,2024,1.0,0.026,0.05,0.696,0.869
Gradient Boosting,2024,0.875,0.09,0.163,0.621,0.788
XGBoost,2024,0.923,0.154,0.264,0.646,0.808
