District,Year,Cases,Deaths,Outbreak_Months,severity_score,severity_class
Kurunegala,2017,5,0,1,0.41666666666666663,LOW
Batticaloa,2017,14,0,3,3.5,LOW
Ampara,2017,191,2,2,51.83333333333333,MEDIUM
Polonnaruwa,2017,52,0,1,4.333333333333333,LOW
Anuradhapura,2017,335,0,3,83.75,MEDIUM
Badulla,2017,35,4,3,48.75,LOW
Monaragala,2017,15,0,1,1.25,LOW
Gampaha,2017,3,1,1,10.25,LOW
Kandy,2017,1,0,1,0.08333333333333333,LOW
Hambantota,2017,19,2,3,24.75,LOW
Jaffna,2017,18,0,1,1.5,LOW
Mullaitivu,2017,145,0,2,24.166666666666664,LOW
Kegalle,2017,5,0,1,0.41666666666666663,LOW
Colombo,2017,10,0,1,0.8333333333333333,LOW
Kurunegala,2018,383,11,6,301.5,HIGH
Puttalam,2018,16,1,1,11.333333333333334,LOW
Batticaloa,2018,171,2,3,62.75,MEDIUM
Ampara,2018,187,2,5,97.91666666666667,MEDIUM
Trincomalee,2018,113,0,2,18.833333333333332,LOW
Anuradhapura,2018,1879,69,5,1472.9166666666667,HIGH
Polonnaruwa,2018,612,54,5,795.0,HIGH
Badulla,2018,476,5,2,129.33333333333331,MEDIUM
Monaragala,2018,452,35,3,463.0,HIGH
Kandy,2018,96,2,5,60.0,MEDIUM
Matale,2018,392,17,3,268.0,MEDIUM
Nuwara Eliya,2018,22,4,1,41.833333333333336,LOW
Hambantota,2018,138,3,1,41.5,LOW
Jaffna,2018,117,0,2,19.5,LOW
Vavuniya,2018,182,0,3,45.5,LOW
Kegalle,2018,4,0,1,0.3333333333333333,LOW
Kurunegala,2019,8182,27,4,2997.333333333333,HIGH
Puttalam,2019,1079,0,2,179.83333333333331,MEDIUM
Batticaloa,2019,201,0,4,67.0,MEDIUM
Ampara,2019,61,0,2,10.166666666666666,LOW
Trincomalee,2019,82,0,2,13.666666666666666,LOW
Anuradhapura,2019,513,13,4,301.0,HIGH
Polonnaruwa,2019,63,0,2,10.5,LOW
Badulla,2019,3,0,1,0.25,LOW
Monaragala,2019,13,0,1,1.0833333333333333,LOW
Kandy,2019,31,1,2,15.166666666666666,LOW
Matale,2019,25,17,1,172.08333333333334,MEDIUM
Mullaitivu,2019,199,4,3,89.75,MEDIUM
Mannar,2019,87,3,1,37.25,LOW
Jaffna,2019,74,0,4,24.666666666666664,LOW
Kilinochchi,2019,226,8,4,155.33333333333331,MEDIUM
Vavuniya,2019,350,0,2,58.33333333333333,MEDIUM
Kegalle,2019,5,0,1,0.41666666666666663,LOW
Gampaha,2019,132,10,4,144.0,MEDIUM
Anuradhapura,2020,349,0,5,145.41666666666669,MEDIUM
Polonnaruwa,2020,57,5,2,59.5,MEDIUM
