feature,mean_abs_shap
cos_month,0.5963018530184687
r3h,0.5562458807197582
lat,0.3162745861620338
humidity,0.2862633300389566
sin_month,0.28217133422659657
lon,0.2813838818678437
rain_lag2,0.2551226053217722
wind_speed,0.22099421687606594
humidity_lag1,0.1383336284529229
rfq,0.13313432147453677
rfq_lag1,0.12696335824357372
temp_lag1,0.11154788682518903
monsoon_phase_SW_Monsoon,0.11029363331476749
wind_lag1,0.09571515896386532
monsoon_phase_First_Inter_Monsoon,0.08260697287836338
rain_lag1,0.06488334438587255
rainfall_mm,0.05261012382168545
buffalo_density,0.03778079095972746
monsoon_phase_Second_Inter_Monsoon,0.037118781990623476
livestock_density,0.013220084608728876
monsoon_phase_NE_Monsoon,0.0022134531912267456
