year,District,month,Outbreak status,date
2017,Ampara,January,0,2017-01-01
2017,Ampara,February,0,2017-02-01
2017,Ampara,March,0,2017-03-01
2017,Ampara,April,0,2017-04-01
2017,Ampara,May,0,2017-05-01
2017,Ampara,June,0,2017-06-01
2017,Ampara,July,0,2017-07-01
2017,Ampara,August,0,2017-08-01
2017,Ampara,September,1,2017-09-01
2017,Ampara,October,0,2017-10-01
2017,Ampara,November,0,2017-11-01
2017,Ampara,December,1,2017-12-01
2017,Anuradhapura,January,1,2017-01-01
2017,Anuradhapura,February,0,2017-02-01
2017,Anuradhapura,March,0,2017-03-01
2017,Anuradhapura,April,1,2017-04-01
2017,Anuradhapura,May,1,2017-05-01
2017,Anuradhapura,June,0,2017-06-01
2017,Anuradhapura,July,0,2017-07-01
2017,Anuradhapura,August,0,2017-08-01
2017,Anuradhapura,September,0,2017-09-01
2017,Anuradhapura,October,0,2017-10-01
2017,Anuradhapura,November,0,2017-11-01
2017,Anuradhapura,December,0,2017-12-01
2017,Badulla,January,0,2017-01-01
2017,Badulla,February,0,2017-02-01
2017,Badulla,March,0,2017-03-01
2017,Badulla,April,0,2017-04-01
2017,Badulla,May,0,2017-05-01
2017,Badulla,June,0,2017-06-01
2017,Badulla,July,0,2017-07-01
2017,Badulla,August,0,2017-08-01
2017,Badulla,September,1,2017-09-01
2017,Badulla,October,0,2017-10-01
2017,Badulla,November,1,2017-11-01
2017,Badulla,December,1,2017-12-01
2017,Batticaloa,January,1,2017-01-01
2017,Batticaloa,February,1,2017-02-01
2017,Batticaloa,March,0,2017-03-01
2017,Batticaloa,April,0,2017-04-01
2017,Batticaloa,May,0,2017-05-01
2017,Batticaloa,June,0,2017-06-01
2017,Batticaloa,July,0,2017-07-01
2017,Batticaloa,August,0,2017-08-01
2017,Batticaloa,September,0,2017-09-01
2017,Batticaloa,October,1,2017-10-01
2017,Batticaloa,November,0,2017-11-01
2017,Batticaloa,December,0,2017-12-01
2017,Colombo,January,1,2017-01-01
2017,Colombo,February,0,2017-02-01
2017,Colombo,March,0,2017-03-01
2017,Colombo,April,0,2017-04-01
2017,Colombo,May,0,2017-05-01
2017,Colombo,June,0,2017-06-01
2017,Colombo,July,0,2017-07-01
2017,Colombo,August,0,2017-08-01
2017,Colombo,September,0,2017-09-01
2017,Colombo,October,0,2017-10-01
2017,Colombo,November,0,2017-11-01
2017,Colombo,December,0,2017-12-01
2017,Galle,January,0,2017-01-01
2017,Galle,February,0,2017-02-01
2017,Galle,March,0,2017-03-01
2017,Galle,April,0,2017-04-01
2017,Galle,May,0,2017-05-01
2017,Galle,June,0,2017-06-01
2017,Galle,July,0,2017-07-01
2017,Galle,August,0,2017-08-01
2017,Galle,September,0,2017-09-01
2017,Galle,October,0,2017-10-01
2017,Galle,November,0,2017-11-01
2017,Galle,December,0,2017-12-01
2017,Gampaha,January,1,2017-01-01
2017,Gampaha,February,0,2017-02-01
2017,Gampaha,March,0,2017-03-01
2017,Gampaha,April,0,2017-04-01
2017,Gampaha,May,0,2017-05-01
2017,Gampaha,June,0,2017-06-01
2017,Gampaha,July,0,2017-07-01
2017,Gampaha,August,0,2017-08-01
2017,Gampaha,September,0,2017-09-01
2017,Gampaha,October,0,2017-10-01
2017,Gampaha,November,0,2017-11-01
2017,Gampaha,December,0,2017-12-01
2017,Hambantota,January,1,2017-01-01
2017,Hambantota,February,1,2017-02-01
2017,Hambantota,March,0,2017-03-01
2017,Hambantota,April,1,2017-04-01
2017,Hambantota,May,0,2017-05-01
2017,Hambantota,June,0,2017-06-01
2017,Hambantota,July,0,2017-07-01
2017,Hambantota,August,0,2017-08-01
2017,Hambantota,September,0,2017-09-01
2017,Hambantota,October,0,2017-10-01
2017,Hambantota,November,0,2017-11-01
