date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1/1/1981,2,25830,LK22,67,105.970146,71.97761,,,,,144.159,,,final
1/11/1981,2,25830,LK22,67,7.716418,56.89602,,,,,20.544806,,,final
1/21/1981,2,25830,LK22,67,4.328358,54.214924,118.01492,183.08856,,,15.75339,65.402664,,final
2/1/1981,2,25830,LK22,67,54.358208,44.043285,66.402985,155.15424,,,121.03229,44.583885,,final
2/11/1981,2,25830,LK22,67,3.7313433,30.81393,62.417908,129.07214,,,24.37974,50.284798,,final
2/21/1981,2,25830,LK22,67,7.432836,26.296518,65.522385,101.15373,,,39.72594,66.434204,,final
3/1/1981,2,25830,LK22,67,2.6567163,34.520897,13.820895,91.63134,,,19.373842,19.477009,,final
3/11/1981,2,25830,LK22,67,3.0447762,34.323383,13.134328,95.1408,,,20.457994,18.10883,,final
3/21/1981,2,25830,LK22,67,47.850746,42.14428,53.55224,110.988556,237.08954,395.23087,112.10426,50.481045,60.487473,final
4/1/1981,2,25830,LK22,67,28.432837,52.604977,79.32836,129.07263,159.55225,375.85822,58.03811,62.897522,43.205647,final
4/11/1981,2,25830,LK22,67,27.089552,61.613434,103.37314,156.36269,178.92537,380.57562,48.172794,67.16122,47.701504,final
4/21/1981,2,25830,LK22,67,30.02985,58.742287,85.55224,172.9607,204.62686,385.103,54.955437,50.88328,53.736286,final
5/1/1981,2,25830,LK22,67,107.970146,64.16368,165.08954,184.5194,258.2388,405.2234,163.33739,89.747826,64.169624,final
5/11/1981,2,25830,LK22,67,67.343285,54.65622,205.34329,177.5622,321.85074,429.06567,121.26696,115.21733,75.299835,final
5/21/1981,2,25830,LK22,67,58.52239,42.243782,233.83582,161.06367,372.9403,445.01294,134.4566,143.82182,83.98432,final
6/1/1981,2,25830,LK22,67,16.373135,25.890049,142.23882,122.79005,386.65674,436.38208,69.191,115.21932,88.73418,final
6/11/1981,2,25830,LK22,67,5.641791,20.322886,80.537315,88.45672,389.25375,422.3816,42.0244,91.52612,92.24865,final
6/21/1981,2,25830,LK22,67,13.343284,19.659204,35.358208,65.87214,354.74628,399.8965,74.38717,56.9451,88.848946,final
7/1/1981,2,25830,LK22,67,5.044776,22.67214,24.02985,62.65423,331.35822,369.96368,36.299236,42.90914,89.70421,final
7/11/1981,2,25830,LK22,67,51.50746,25.617413,69.89552,67.94875,355.77612,333.96765,184.55988,102.66868,106.4338,final
7/21/1981,2,25830,LK22,67,80.35821,25.276617,136.91045,73.56617,406.1045,300.50198,281.92783,180.62538,134.56688,final
8/1/1981,2,25830,LK22,67,6.328358,17.75373,138.19402,68.64776,304.46268,254.09204,49.786816,194.43092,119.44121,final
8/11/1981,2,25830,LK22,67,3.1791046,29.022388,89.86568,72.052734,240.29851,228.4582,24.040361,123.11787,105.0717,final
8/21/1981,2,25830,LK22,67,25.25373,32.718407,34.761192,79.49453,207.02985,218.93285,80.209465,47.057713,94.68456,final
9/1/1981,2,25830,LK22,67,78.731346,43.61443,107.164185,105.355225,269.38806,236.65721,172.23558,101.63921,113.544334,final
9/11/1981,2,25830,LK22,67,117.38806,39.12587,221.37314,115.45871,381.13434,255.4602,277.36124,187.92592,148.2508,final
9/21/1981,2,25830,LK22,67,6.567164,63.600994,202.68658,146.3413,374.35822,299.40198,16.86151,137.2306,124.6241,final
10/1/1981,2,25830,LK22,67,12.447762,68.01741,136.40298,170.74428,381.7612,344.74725,23.895344,80.45951,110.58305,final
10/11/1981,2,25830,LK22,67,89.49254,105.43035,108.50746,237.04875,419.74628,424.5602,85.56754,46.894463,98.87933,final
10/21/1981,2,25830,LK22,67,183.29851,121.36965,285.2388,294.8174,522.6866,520.65326,149.00612,96.80518,100.386826,final
11/1/1981,2,25830,LK22,67,60.97015,111.94179,333.7612,338.7418,577.32837,614.8413,56.412815,98.55106,93.947975,final
11/11/1981,2,25830,LK22,67,57.865673,111.14975,302.13434,344.46118,632.01495,696.9686,54.124672,87.88797,90.746925,final
11/21/1981,2,25830,LK22,67,53.432835,126.588554,172.26866,349.6801,660.1941,790.8388,44.405712,49.97987,83.58402,final
12/1/1981,2,25830,LK22,67,115.70149,105.10746,227,342.84576,697.1642,852.33185,109.62154,66.69623,81.9011,final
12/11/1981,2,25830,LK22,67,90.43284,116.06319,259.56717,347.75922,670.209,929.26917,78.82895,74.99936,72.271355,final
12/21/1981,2,25830,LK22,67,42.22388,103.27114,248.35822,324.4418,705.86566,968.93933,43.616314,76.905304,72.9887,final
1/1/1982,2,25830,LK22,67,10.074627,71.97761,142.73135,290.5368,703.49255,967.18805,19.583134,49.987465,72.87608,final
1/11/1982,2,25830,LK22,67,6.1343284,56.89602,58.432835,231.92786,620.1344,920.608,17.988764,26.77306,67.537704,final
1/21/1982,2,25830,LK22,67,7.626866,54.214924,23.835821,183.08856,444.46268,856.4518,21.32379,15.33098,52.175026,final
2/1/1982,2,25830,LK22,67,2.0895522,44.043285,15.850746,155.15424,385.58206,787.20544,14.455703,13.019167,49.303127,final
2/11/1982,2,25830,LK22,67,2.2537313,30.81393,11.97015,129.07214,329.97012,705.9522,20.253939,12.657477,47.1157,final
2/21/1982,2,25830,LK22,67,2.1791046,26.296518,6.5223885,101.15373,278.7164,607.703,22.93899,10.854436,46.3057,final
3/1/1982,2,25830,LK22,67,1.5970149,34.520897,6.0298505,91.63134,164.61195,537.3224,16.692472,11.414361,31.275114,final
3/11/1982,2,25830,LK22,67,3.0298507,34.323383,6.80597,95.1408,77.20896,456.1408,20.42004,11.7893715,17.827301,final
3/21/1982,2,25830,LK22,67,18.25373,42.14428,22.880596,110.988556,53.238804,395.23087,49.324608,24.037369,14.551303,final
4/1/1982,2,25830,LK22,67,5.0895524,52.604977,26.373133,129.07263,48.25373,375.85822,17.51507,23.400103,13.982561,final
4/11/1982,2,25830,LK22,67,42.910446,61.613434,66.25373,156.36269,85.02985,380.57562,71.9231,44.1575,23.349466,final
4/21/1982,2,25830,LK22,67,75.49254,58.742287,123.49254,172.9607,152.89552,385.103,126.278076,72.20277,40.47534,final
5/1/1982,2,25830,LK22,67,10.238806,64.16368,128.64178,184.5194,161.04477,405.2234,22.032959,70.51615,40.47667,final
5/11/1982,2,25830,LK22,67,58.895523,54.65622,144.62686,177.5622,217.68657,429.06567,107.106224,81.95939,51.302505,final
5/21/1982,2,25830,LK22,67,79.16418,42.243782,148.29851,161.06367,294.67163,445.01294,178.14868,92.31309,66.59178,final
6/1/1982,2,25830,LK22,67,27.58209,25.890049,165.64178,122.79005,320.6567,436.38208,105.47763,133.53291,73.781136,final
6/11/1982,2,25830,LK22,67,9.582089,20.322886,116.32836,88.45672,327.20895,422.3816,57.584625,129.82306,77.73123,final
6/21/1982,2,25830,LK22,67,11.791045,19.659204,48.955227,65.87214,320.74628,399.8965,68.09241,76.13038,80.45174,final
7/1/1982,2,25830,LK22,67,7.0895524,22.67214,28.462687,62.65423,322.74625,369.96368,43.688534,49.461334,87.40746,final
7/11/1982,2,25830,LK22,67,2.6567163,25.617413,21.537315,67.94875,282.49252,333.96765,25.007719,36.37802,84.81415,final
7/21/1982,2,25830,LK22,67,14.119403,25.276617,23.865673,73.56617,221.11942,300.50198,63.14908,36.74059,74.01569,final
8/1/1982,2,25830,LK22,67,11.552238,17.75373,28.328358,68.64776,222.43283,254.09204,72.74516,45.25373,87.78071,final
8/11/1982,2,25830,LK22,67,17.552238,29.022388,43.22388,72.052734,181.08957,228.4582,66.28646,62.585556,79.710014,final
8/21/1982,2,25830,LK22,67,4.1343284,32.718407,33.238804,79.49453,106.05971,218.93285,24.217165,45.255955,49.595093,final
9/1/1982,2,25830,LK22,67,16.58209,43.61443,38.268658,105.355225,95.05971,236.65721,44.394413,39.208527,41.405636,final
9/11/1982,2,25830,LK22,67,62.50746,39.12587,83.22388,115.45871,147.98508,255.4602,152.9884,73.23994,58.73645,final
9/21/1982,2,25830,LK22,67,46.910446,63.600994,126,146.3413,183.10448,299.40198,75.670105,86.559326,61.794765,final
10/1/1982,2,25830,LK22,67,85.61194,68.01741,195.02985,170.74428,261.62686,344.74725,124.096344,113.818695,76.23415,final
10/11/1982,2,25830,LK22,67,52.104477,105.43035,184.62686,237.04875,311.07465,424.5602,51.710857,78.34242,73.580986,final
10/21/1982,2,25830,LK22,67,124.970146,121.36965,262.68655,294.8174,421.92535,520.65326,102.84918,89.283195,81.218056,final
